Abuna Ginde Beret;
Tole;Tulu teji
Tole;Tumei Wayu
Tole;Weserbi
Tole;Woserbi Migridi
Walga;Abeshegei
Walga;Fite
Walga;Jejeba
Walga;Kulit
Wolisso Rural;Abado Jewe
Wolisso Rural;Abado Lemen
Wolisso Rural;Adami Gotu
Wolisso Rural;Ale Koya
Wolisso Rural;Beda Keiro
Wolisso Rural;Bedeisa Koricha
Wolisso Rural;Birbirsa Kenteiro
Wolisso Rural;Bukasa Keta
Wolisso Rural;Chefe Mekana
Wolisso Rural;Chiracha Wanbari
Wolisso Rural;Dembali Keta
Wolisso Rural;Derare Ebicha
Wolisso Rural;Dese Jebo
Wolisso Rural;Dildila Mangura
Wolisso Rural;Dilela Town
Wolisso Rural;Direi Duleti
Wolisso Rural;Doyo Kora
Wolisso Rural;Fodu Gora
Wolisso Rural;Gadu Kistana
Wolisso Rural;Gurura Baka
Wolisso Rural;Gute Godeti
Wolisso Rural;Ilala Kersa
Wolisso Rural;Jelisa Cheka
Wolisso Rural;K/Alemu
Wolisso Rural;K/Bedasa
Wolisso Rural;K/Bedeko
Wolisso Rural;K/Birbrisa
Wolisso Rural;Karo Simela
Wolisso Rural;Kegnera Lebu
Wolisso Rural;Kegnra
Wolisso Rural;Kile
Wolisso Rural;Kono Lefe Arba
Wolisso Rural;Korke
Wolisso Rural;Korra
Wolisso Rural;Kume
Wolisso Rural;L/Anchbe
Wolisso Rural;Leman
Wolisso Rural;Leman Abu
Wolisso Rural;Leman Ayitu
Wolisso Rural;Maru 
Wolisso Rural;Maru Babali
Wolisso Rural;Maru Fekei
Wolisso Rural;Obi
Wolisso Rural;Obi Koji
Wolisso Rural;S/Koke
Wolisso Rural;S/Yabet
Wolisso Rural;Senkele Ale Mariyam
Wolisso Rural;Sodo Gerbo
Wolisso Rural;Sombo Yabeta
Wolisso Rural;Sonkola
Wolisso Rural;Tobe
Wolisso Rural;Tolay
Wolisso Rural;Tombe Anchebi
Wolisso Rural;Walu Soma
Wolisso Rural;Warabu Bariyu
Wolisso Rural;Waranen Megnako
Wolisso Rural;Wolisoma
Wolisso Rural;Yaya
Wolisso town;Kebele 01
Wolisso town;Kebele 02
Wolisso town;Kebele 03
Wolisso town;Kebele 04
Wolisso Town;Kebele 05
Wolisso Town;Kebele 06
Wolisso Town;Kebele 07
